# file...... theat_record.csv
# date...... Fri Feb 22 13:35:06 2013
# user...... Antonia
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. 5
# limit..... 480
# timestamp,air_temperature,cooling_setpoint
2013-02-22 03:45:51 PST,+63.2324,+90
2013-02-22 03:45:56 PST,+63.2358,+90
2013-02-22 03:46:01 PST,+63.2392,+90
2013-02-22 03:46:06 PST,+63.2426,+90
2013-02-22 03:46:11 PST,+63.246,+90
2013-02-22 03:46:16 PST,+63.2494,+90
2013-02-22 03:46:21 PST,+63.2527,+90
2013-02-22 03:46:26 PST,+63.2561,+90
2013-02-22 03:46:31 PST,+63.2594,+90
2013-02-22 03:46:36 PST,+63.2627,+90
2013-02-22 03:46:41 PST,+63.266,+90
2013-02-22 03:46:46 PST,+63.2693,+90
2013-02-22 03:46:51 PST,+63.2725,+90
2013-02-22 03:46:56 PST,+63.2758,+90
2013-02-22 03:47:01 PST,+63.279,+90
2013-02-22 03:47:06 PST,+63.2822,+90
2013-02-22 03:47:11 PST,+63.2854,+90
2013-02-22 03:47:16 PST,+63.2886,+90
2013-02-22 03:47:21 PST,+63.2918,+90
2013-02-22 03:47:26 PST,+63.2949,+90
2013-02-22 03:47:31 PST,+63.2981,+90
2013-02-22 03:47:36 PST,+63.3012,+90
2013-02-22 03:47:41 PST,+63.3043,+90
2013-02-22 03:47:46 PST,+63.3074,+90
2013-02-22 03:47:51 PST,+63.3105,+90
2013-02-22 03:47:56 PST,+63.3136,+90
2013-02-22 03:48:01 PST,+63.3167,+90
2013-02-22 03:48:06 PST,+63.3197,+90
2013-02-22 03:48:11 PST,+63.3228,+90
2013-02-22 03:48:16 PST,+63.3258,+90
2013-02-22 03:48:21 PST,+63.3289,+90
2013-02-22 03:48:26 PST,+63.3319,+90
2013-02-22 03:48:31 PST,+63.3349,+90
2013-02-22 03:48:36 PST,+63.3379,+90
2013-02-22 03:48:41 PST,+63.3408,+90
2013-02-22 03:48:46 PST,+63.3438,+90
2013-02-22 03:48:51 PST,+63.3468,+90
2013-02-22 03:48:56 PST,+63.3497,+90
2013-02-22 03:49:01 PST,+63.3526,+90
2013-02-22 03:49:06 PST,+63.3556,+90
2013-02-22 03:49:11 PST,+63.3585,+90
2013-02-22 03:49:16 PST,+63.3614,+90
2013-02-22 03:49:21 PST,+63.3643,+90
2013-02-22 03:49:26 PST,+63.3672,+90
2013-02-22 03:49:31 PST,+63.3701,+90
2013-02-22 03:49:36 PST,+63.3729,+90
2013-02-22 03:49:41 PST,+63.3758,+90
2013-02-22 03:49:46 PST,+63.3786,+90
2013-02-22 03:49:51 PST,+63.3815,+90
2013-02-22 03:49:56 PST,+63.3843,+90
2013-02-22 03:50:01 PST,+63.3871,+90
2013-02-22 03:50:06 PST,+63.39,+90
2013-02-22 03:50:11 PST,+63.3928,+90
2013-02-22 03:50:16 PST,+63.3956,+90
2013-02-22 03:50:21 PST,+63.3984,+90
2013-02-22 03:50:26 PST,+63.4011,+90
2013-02-22 03:50:31 PST,+63.4039,+90
2013-02-22 03:50:36 PST,+63.4067,+90
2013-02-22 03:50:41 PST,+63.4095,+90
2013-02-22 03:50:46 PST,+63.4122,+90
2013-02-22 03:50:51 PST,+63.415,+90
2013-02-22 03:50:56 PST,+63.4177,+90
2013-02-22 03:51:01 PST,+63.4204,+90
2013-02-22 03:51:06 PST,+63.4232,+90
2013-02-22 03:51:11 PST,+63.4259,+90
2013-02-22 03:51:16 PST,+63.4286,+90
2013-02-22 03:51:21 PST,+63.4313,+90
2013-02-22 03:51:26 PST,+63.434,+90
2013-02-22 03:51:31 PST,+63.4367,+90
2013-02-22 03:51:36 PST,+63.4394,+90
2013-02-22 03:51:41 PST,+63.4421,+90
2013-02-22 03:51:46 PST,+63.4447,+90
2013-02-22 03:51:51 PST,+63.4474,+90
2013-02-22 03:51:56 PST,+63.4501,+90
2013-02-22 03:52:01 PST,+63.4527,+90
2013-02-22 03:52:06 PST,+63.4554,+90
2013-02-22 03:52:11 PST,+63.458,+90
2013-02-22 03:52:16 PST,+63.4606,+90
2013-02-22 03:52:21 PST,+63.4633,+90
2013-02-22 03:52:26 PST,+63.4659,+90
2013-02-22 03:52:31 PST,+63.4685,+90
2013-02-22 03:52:36 PST,+63.4711,+90
2013-02-22 03:52:41 PST,+63.4737,+90
2013-02-22 03:52:46 PST,+63.4763,+90
2013-02-22 03:52:51 PST,+63.4789,+90
2013-02-22 03:52:56 PST,+63.4815,+90
2013-02-22 03:53:01 PST,+63.4841,+90
2013-02-22 03:53:06 PST,+63.4867,+90
2013-02-22 03:53:11 PST,+63.4893,+90
2013-02-22 03:53:16 PST,+63.4919,+90
2013-02-22 03:53:21 PST,+63.4944,+90
2013-02-22 03:53:26 PST,+63.497,+90
2013-02-22 03:53:31 PST,+63.4996,+90
2013-02-22 03:53:36 PST,+63.5021,+90
2013-02-22 03:53:41 PST,+63.5047,+90
